key;scientificName;decimalLatitude;decimalLongitude;issues;datasetKey;basisOfRecord;occurrenceStatus;acceptedScientificName;kingdom;phylum;family;genus;species;genericName;specificEpithet;taxonRank;taxonomicStatus;iucnRedListCategory;class
4852273802;Cebus malitiosus Elliot, 1909;11,014206;-73,87671;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Cebus malitiosus Elliot, 1909;Animalia;Chordata;Cebidae;Cebus;Cebus malitiosus;Cebus;malitiosus;SPECIES;ACCEPTED;EN;Mammalia
4901905786;Alouatta seniculus (Linnaeus, 1766);11,095914;-73,834907;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Alouatta seniculus (Linnaeus, 1766);Animalia;Chordata;Atelidae;Alouatta;Alouatta seniculus;Alouatta;seniculus;SPECIES;ACCEPTED;LC;Mammalia
4901125229;Alouatta seniculus (Linnaeus, 1766);11,100778;-74,071652;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Alouatta seniculus (Linnaeus, 1766);Animalia;Chordata;Atelidae;Alouatta;Alouatta seniculus;Alouatta;seniculus;SPECIES;ACCEPTED;LC;Mammalia
4855476997;Tachiramantis Heinicke, Barrio-Amorós & Hedges, 2015;11,105637;-74,190239;cdc,cdround,txmathi;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Tachiramantis Heinicke, Barrio-Amorós & Hedges, 2015;Animalia;Chordata;Craugastoridae;Tachiramantis;NA;Tachiramantis;NA;GENUS;ACCEPTED;NE;Amphibia
4855201426;Geobatrachus walkeri Ruthven, 1915;10,961202;-73,893514;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Geobatrachus walkeri Ruthven, 1915;Animalia;Chordata;Craugastoridae;Geobatrachus;Geobatrachus walkeri;Geobatrachus;walkeri;SPECIES;ACCEPTED;EN;Amphibia
4855308128;Thecadactylus rapicauda (Houttuyn, 1782);11,276287;-73,921318;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Thecadactylus rapicauda (Houttuyn, 1782);Animalia;Chordata;Phyllodactylidae;Thecadactylus;Thecadactylus rapicauda;Thecadactylus;rapicauda;SPECIES;ACCEPTED;LC;Squamata
4854984777;Rhinella horribilis (Wiegmann, 1833);11,275319;-73,921226;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Rhinella horribilis (Wiegmann, 1833);Animalia;Chordata;Bufonidae;Rhinella;Rhinella horribilis;Rhinella;horribilis;SPECIES;ACCEPTED;NE;Amphibia
4908656133;Basiliscus basiliscus (Linnaeus, 1758);11,275269;-73,921152;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Basiliscus basiliscus (Linnaeus, 1758);Animalia;Chordata;Corytophanidae;Basiliscus;Basiliscus basiliscus;Basiliscus;basiliscus;SPECIES;ACCEPTED;LC;Squamata
4855075163;Engystomops pustulosus (Cope, 1864);11,275351;-73,921341;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Engystomops pustulosus (Cope, 1864);Animalia;Chordata;Leptodactylidae;Engystomops;Engystomops pustulosus;Engystomops;pustulosus;SPECIES;ACCEPTED;LC;Amphibia
4919313446;Atelopus laetissimus Ruiz-Carranza, Ardila-Robayo & Hernández-Camacho, 1994;10,938105;-73,822509;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Atelopus laetissimus Ruiz-Carranza, Ardila-Robayo & Hernández-Camacho, 1994;Animalia;Chordata;Bufonidae;Atelopus;Atelopus laetissimus;Atelopus;laetissimus;SPECIES;ACCEPTED;EN;Amphibia
4863880406;Alouatta seniculus (Linnaeus, 1766);11,298646;-73,922171;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Alouatta seniculus (Linnaeus, 1766);Animalia;Chordata;Atelidae;Alouatta;Alouatta seniculus;Alouatta;seniculus;SPECIES;ACCEPTED;LC;Mammalia
4855386421;Anolis auratus Daudin, 1802;11,236911;-74,147557;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Anolis auratus Daudin, 1802;Animalia;Chordata;Dactyloidae;Anolis;Anolis auratus;Anolis;auratus;SPECIES;ACCEPTED;LC;Squamata
4872380689;Atelopus laetissimus Ruiz-Carranza, Ardila-Robayo & Hernández-Camacho, 1994;10,905462;-73,985094;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Atelopus laetissimus Ruiz-Carranza, Ardila-Robayo & Hernández-Camacho, 1994;Animalia;Chordata;Bufonidae;Atelopus;Atelopus laetissimus;Atelopus;laetissimus;SPECIES;ACCEPTED;EN;Amphibia
