Voucher/obs,Especie,Pais,Estado,Municipio/localidad,Latitud,Longitud,Elevación (m s. n. m.),Fuente,
UCM:Herp:39974,Rhadinaea decorata,Mexico,Oaxaca,Mije,18.541667,-95.075,734,Gbif,
UCM:Herp:39975,Rhadinaea decorata,Mexico,Oaxaca,Mije,18.925,-97.041667,33,Gbif,
UCM:Herp:39976,Rhadinaea decorata,Mexico,Oaxaca,Mije,18.610833,-95.091667,926,Gbif,
UCM:Herp:39977,Rhadinaea decorata,Mexico,Oaxaca,Mije,18.436111,-95.022778,31,Gbif,
UCM:Herp:39978,Rhadinaea decorata,Mexico,Oaxaca,Mije,18.491667,-95.033333,382,Gbif,
UCM:Herp:39979,Rhadinaea decorata,Mexico,Oaxaca,Mije,19.383611,-96.971667,1243,Gbif,
UCM:Herp:39980,Rhadinaea decorata,Mexico,Oaxaca,Mije,17.658333,-95.041667,2423,Gbif,
UCM:Herp:40092,Rhadinaea decorata,Mexico,Oaxaca,Juchitan,17.525,-94.875,232,Gbif,
UCM:Herp:44511,Rhadinaea decorata,Mexico,Oaxaca,Mije,17.187639,-94.48525,234,Gbif,
UCM:Herp:44512,Rhadinaea decorata,Mexico,Oaxaca,Mije,17.203,-94.471361,253,Gbif,
UCM:Herp:44513,Rhadinaea decorata,Mexico,Oaxaca,Mije,19.641667,-97.108333,357,Gbif,
UCM:Herp:44514,Rhadinaea decorata,Mexico,Oaxaca,Mije,17.205556,-94.484611,513,Gbif,
UCM:Herp:44515,Rhadinaea decorata,Mexico,Oaxaca,Mije,17.183833,-94.481444,239,Gbif,
UCM:Herp:49352,Rhadinaea decorata,Mexico,Oaxaca,Juchitan,17.171722,-94.472555,396,Gbif,
UCM:Herp:52407,Rhadinaea decorata,Mexico,Oaxaca,Doce de Julio,17.20575,-94.466,219,Gbif,
UCM:Herp:52408,Rhadinaea decorata,Mexico,Oaxaca,Doce de Julio,18.56,-95.09,219,Gbif,
UCM:Herp:52409,Rhadinaea decorata,Mexico,Oaxaca,Doce de Julio,18.52,-95.07,37,Gbif,
UCM:Herp:52411,Rhadinaea decorata,Mexico,Oaxaca,Mije,18.59,-95.08,232,Gbif,
